site_id,NDBI,lat,long,collector,ID,date,time_start,time_end,collection_window,weather,temperature,humidity,time_of_first_coll,time_to_first_coll_minutes,spec_first_coll,Total_Ae.aegypti,Females_Ae.aegypti,Total_Ae.albopictus,Females_Ae.albopictus
FMT-201,2,,,D,D,3/31/2021,8:00,9:00,6:00-9:00,Heavy cloud,24.6,90.7,8:17,17,Ae. aegypti,2,0,0,0
FMT-201,2,,,D,D,3/31/2021,9:00,10:00,9:00-10:00,Heavy cloud,25.1,89.7,9:17,17,Culex sp.,0,0,0,0
FMT-201,2,,,D,D,3/31/2021,12:00,13:00,12:00-13:00,Heavy cloud,27.1,83,,,,0,0,0,0
FMT-201,2,,,A,A,3/31/2021,15:00,16:00,15:00-16:00,Light cloud,27.6,81.4,15:53,53,Ae. aegypti,1,0,0,0
FMT-201,2,,,A,A,3/31/2021,18:00,19:00,17:00-19:00,Light cloud,26.6,82.9,18:00,0,Culex sp.,0,0,0,0
FMT-201,2,,,A,A,3/31/2021,19:00,20:00,19:00-22:00,Clear,26.6,87.2,,,,0,0,0,0
FMT-302,3,,,A,A,4/5/2021,8:00,9:00,6:00-9:00,Clear,30.6,70.6,8:29,29,Ae. aegypti,3,1,0,0
FMT-302,3,,,A,A,4/5/2021,9:00,10:00,9:00-10:00,Clear,31.1,74.1,,,,0,0,0,0
FMT-302,3,,,A,A,4/5/2021,12:00,13:00,12:00-13:00,Light cloud,34.6,54.6,,,,0,0,0,0
FMT-302,3,,,C,C,4/5/2021,15:00,16:00,15:00-16:00,Light rain,30.6,73.5,,,,0,0,0,0
FMT-302,3,,,C,C,4/5/2021,18:00,19:00,17:00-19:00,Light cloud,28.1,75.4,18:15,15,Culex sp.,0,0,0,0
FMT-302,3,,,C,C,4/5/2021,19:00,20:00,19:00-22:00,Light cloud,27.6,83.6,19:11,11,Culex sp.,0,0,0,0
FMT-103,1,,,C,C,4/12/2021,12:00,13:00,12:00-13:00,Clear,32.1,66.2,12:00,0,,0,0,3,3
FMT-101,1,,,A,A,4/6/2021,9:00,10:00,9:00-10:00,Light cloud,29.6,75.6,,,,0,0,0,0
FMT-101,1,,,A,A,4/6/2021,12:00,13:00,12:00-13:00,Light cloud,31.1,73,,,,0,0,0,0
FMT-101,1,,,C,C,4/6/2021,15:00,16:00,15:00-16:00,Clear,32.1,69.1,,,,0,0,0,0
FMT-101,1,,,C,C,4/6/2021,18:00,19:00,17:00-19:00,Clear,27.6,86.2,18:32,32,Culex sp.,0,0,0,0
FMT-101,1,,,E,E,,12:00,13:00,12:00-13:00,,,,12:18,18,Ae. albopictus,0,0,7,6
FMT-301,3,,,C,C,4/7/2021,8:00,9:00,6:00-9:00,Clear,32.1,70.2,,,,0,0,0,0
FMT-301,3,,,C,C,4/7/2021,9:00,10:00,9:00-10:00,Clear,34.6,63.6,,,,0,0,0,0
FMT-301,3,,,C,C,4/7/2021,12:00,13:00,12:00-13:00,Light rain,29.1,85.3,,,,0,0,0,0
FMT-301,3,,,D,D,4/7/2021,15:00,16:00,15:00-16:00,Light cloud,32.1,73.1,,,,0,0,0,0
FMT-301,3,,,D,D,4/7/2021,18:00,19:00,17:00-19:00,Clear,29.1,79.9,,,,0,0,0,0
FMT-301,3,,,D,D,4/7/2021,19:00,20:00,19:00-22:00,Clear,28.6,81.5,,,,0,0,0,0
FMT-102,1,,,D,D,4/8/2021,8:00,9:00,6:00-9:00,Clear,29.1,79.9,,,,0,0,0,0
FMT-1-12,1,,,E,E,,12:00,13:00,12:00-13:00,,,,,,,0,0,6,6
FMT-102,1,,,D,D,4/8/2021,12:00,13:00,12:00-13:00,Light cloud,33.1,67.5,,,,0,0,0,0
FMT-102,1,,,A,A,4/8/2021,15:00,16:00,15:00-16:00,Clear,36.1,53.5,,,,0,0,0,0
FMT-103,1,,,D,D,4/12/2021,15:00,16:00,15:00-16:00,Clear,35.1,71.3,15:10,10,Ae. albopictus,0,0,6,3
FMT-102,1,,,A,A,4/8/2021,19:00,20:00,19:00-22:00,Heavy cloud,27.6,85.2, 19:19,19,Mansonia sp. ,0,0,0,0
FMT-202,2,,,C,C,4/9/2021,8:00,9:00,6:00-9:00,Clear,32.6,68.6,,,,0,0,0,0
FMT-202,2,,,C,C,4/9/2021,9:00,10:00,9:00-10:00,Clear,34.1,64.7,,,,0,0,0,0
FMT-202,2,,,C,C,4/9/2021,12:00,13:00,12:00-13:00,Light rain,28.1,77.1,,,,0,0,0,0
FMT-202,2,,,D,D,4/9/2021,15:00,16:00,15:00-16:00,Heavy cloud,28.1,79.8,,,,0,0,0,0
FMT-202,2,,,D,D,4/9/2021,18:00,19:00,17:00-19:00,Light cloud,27.1,85.7,,,,0,0,0,0
FMT-202,2,,,D,D,4/9/2021,19:00,20:00,19:00-22:00,Light cloud,26.6,88.2,19:18,18,Culex sp.,0,0,0,0
FMT-103,1,,,C,C,4/12/2021,8:00,9:00,6:00-9:00,Heavy cloud,31.6,78.6,,,,0,0,0,0
FMT-101,1,,,E,E,,15:00,16:00,15:00-16:00,,,,15:14,14,Ae. albopictus,0,0,5,4
FMT-104,1,-3.088342,-60.0353339,B,B,4/6/2022,15:00,16:00,15:00-16:00,medium cloud,26.9,92.6,15:05,5,Ae. albopictus,0,0,2,2
FMT-1-15,1,,,E,E,,15:00,16:00,15:00-16:00,,,,,,,0,0,4,4
FMT-102,1,,,A,A,4/8/2021,18:00,19:00,17:00-19:00,Clear,28.6,78.8,18:00,0,Ae. albopictus,0,0,1,1
FMT-103,1,,,D,D,4/12/2021,18:00,19:00,17:00-19:00,Clear,27.6,90.4,18:10,10,Culex sp.,0,0,1,1
FMT-303,3,,,D,D,4/13/2021,8:00,9:00,6:00-9:00,Clear,29.6,79.9,,,,0,0,0,0
FMT-303,3,,,D,D,4/13/2021,9:00,10:00,9:00-10:00,Heavy cloud,31.1,75.8,,,,0,0,0,0
FMT-303,3,,,D,D,4/13/2021,12:00,13:00,12:00-13:00,Heavy cloud,29.6,77.8,,,,0,0,0,0
FMT-303,3,,,A,A,4/13/2021,15:00,16:00,15:00-16:00,Heavy cloud,31.6,71.3,,,,0,0,0,0
FMT-303,3,,,A,A,4/13/2021,18:00,19:00,17:00-19:00,Light cloud,29.1,82.1,18:01,1,Culex sp.,0,0,0,0
FMT-303,3,,,A,A,4/13/2021,19:00,20:00,19:00-22:00,Light cloud,28.6,85.8,19:28,28,Culex sp.,0,0,0,0
FMT-203,2,,,A,A,4/14/2021,8:00,9:00,6:00-9:00,Heavy cloud,32.6,73.2,,,,0,0,0,0
FMT-203,2,,,A,A,4/14/2021,9:00,10:00,9:00-10:00,Light cloud,32.6,65.7,,,,0,0,0,0
FMT-203,2,,,A,A,4/14/2021,12:00,13:00,12:00-13:00,Light cloud,34.6,59.4,,,,0,0,0,0
FMT-203,2,,,C,C,4/14/2021,15:00,16:00,15:00-16:00,Light cloud,31.1,71.3,,,,0,0,0,0
FMT-203,2,,,C,C,4/14/2021,18:00,19:00,17:00-19:00,Clear,28.1,83.1,18:06,6,Culex sp.,0,0,0,0
FMT-203,2,,,C,C,4/14/2021,19:00,20:00,19:00-22:00,Clear,28.1,86.8,19:12,12,Mansonia sp. ,0,0,0,0
FMT-101,1,,,E,E,,18:00,19:00,17:00-19:00,,,,18:10,10,Ae. albopictus,0,0,2,1
FMT-1-18,1,,,E,E,,18:00,19:00,17:00-19:00,,,,,,,0,0,1,1
FMT-101,1,,,C,C,4/6/2021,19:00,20:00,19:00-22:00,Clear,26.6,89.3,19:10,10,Mansonia sp. ,0,0,1,1
FMT-103,1,,,D,D,4/12/2021,19:00,20:00,19:00-22:00,Clear,27.1,92.9,19:00,0,Culex sp.,0,0,1,1
FMT-101,1,,,A,A,4/6/2021,8:00,9:00,6:00-9:00,Heavy cloud,27.6,81.4,8:01,1,Ae. albopictus,0,0,1,1
FMT-101,1,,,E,E,,21:00,22:00,19:00-22:00,,,,,,,0,0,0,0
FMT-201,2,,,E,E,,6:00,7:00,6:00-9:00,,,,6:08,8,Ae. aegypti,8,5,0,0
FMT-201,2,,,E,E,,9:00,10:00,9:00-10:00,,,,9:02,2,Ae. aegypti,6,2,0,0
