"ID","day","cytokine","sex","group","value","LOD","fold_change_baseline","NHP","virus","baseline","inf_status","exp","bites_of_the_day","bites_of_yesterday","cumul_bites_up_to_daym1","cumul_bites_2_previous_days","cumul_bites_3_previous_days","cumul_bites_4_previous_days","cumul_bites_7_previous_days"
"5080",-7,"IL.17","F","Squirrel.Zika virus",31.32,31.32,NA,"Squirrel","Zika virus",31.32,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"MIP.1a","F","Squirrel.Zika virus",28.4,28.4,NA,"Squirrel","Zika virus",28.4,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.4","F","Squirrel.Zika virus",38.97,38.97,NA,"Squirrel","Zika virus",38.97,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"MDC","F","Squirrel.Zika virus",295.16,295.16,NA,"Squirrel","Zika virus",295.16,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.1B","F","Squirrel.Zika virus",12.14,12.14,NA,"Squirrel","Zika virus",12.14,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.2","F","Squirrel.Zika virus",43.77,43.77,NA,"Squirrel","Zika virus",43.77,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"MIP.1B","F","Squirrel.Zika virus",32.57,32.57,1,"Squirrel","Zika virus",32.57,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"Eotaxin","F","Squirrel.Zika virus",2.39,2.39,NA,"Squirrel","Zika virus",2.39,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"VEGF","F","Squirrel.Zika virus",0.96,0.96,NA,"Squirrel","Zika virus",0.96,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"HGF","F","Squirrel.Zika virus",70.66,70.66,NA,"Squirrel","Zika virus",70.66,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"MIF","F","Squirrel.Zika virus",324.54,8.24,1,"Squirrel","Zika virus",324.54,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"G.CSF","F","Squirrel.Zika virus",113.59,113.59,NA,"Squirrel","Zika virus",113.59,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.15","F","Squirrel.Zika virus",76.04,76.04,NA,"Squirrel","Zika virus",76.04,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"GM.CSF","F","Squirrel.Zika virus",17,17,NA,"Squirrel","Zika virus",17,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"TGFbeta","F","Squirrel.Zika virus",2.91,2.91,NA,"Squirrel","Zika virus",2.91,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.8","F","Squirrel.Zika virus",11.66,11.66,NA,"Squirrel","Zika virus",11.66,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.6","F","Squirrel.Zika virus",7.71,7.71,NA,"Squirrel","Zika virus",7.71,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.RA","F","Squirrel.Zika virus",55.49,55.49,NA,"Squirrel","Zika virus",55.49,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IFN.g","F","Squirrel.Zika virus",15.43,15.43,NA,"Squirrel","Zika virus",15.43,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IP.10","F","Squirrel.Zika virus",4.35,4.35,NA,"Squirrel","Zika virus",4.35,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"I.TAC","F","Squirrel.Zika virus",32.04,32.04,NA,"Squirrel","Zika virus",32.04,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5080",-7,"IL.12","F","Squirrel.Zika virus",110.63,110.63,NA,"Squirrel","Zika virus",110.63,"Control","zikv_squirrel",0,0,0,0,0,0,0
