ID,day,viremia,nb_fed,group,sex,weight,temp_estim_feed,dec,feed_duration,outlier,total
BC116A,1,0,7,infected,M,3300,38.854,1.42916666666667,00:06:00,NA,10
BC167,1,0,8,infected,F,3200,38.306,1.45208333333333,00:04:00,NA,10
BC407,1,0,6,infected,F,3200,38.076,1.41111111111111,00:10:00,NA,10
CP60,1,0,6,infected,F,3200,38.571,1.42326388888889,00:05:00,NA,9
FR423A,1,0,8,infected,M,3400,38.398,1.43472222222222,00:06:00,NA,9
FR469A,1,0,7,infected,M,3200,38.4496666666667,1.41631944444444,00:03:00,NA,10
FR840,1,0,9,infected,F,3900,38.233,1.44756944444444,00:07:00,NA,10
NV259,1,0,6,control,F,3800,38.322,1.40486111111111,00:06:00,NA,10
NV289,1,0,9,control,M,4600,38.126,1.38854166666667,00:05:00,NA,9
SB393,1,0,7,infected,M,3500,38.8796666666667,1.41215277777778,00:07:00,NA,10
SB395,1,0,8,infected,F,3400,38.8166666666667,1.44027777777778,00:06:00,NA,10
UG171,1,0,7,control,F,3000,37.574,1.39895833333333,00:05:00,NA,10
UG253A,1,0,5,control,M,3000,38.088,1.40208333333333,00:08:00,NA,10
BC116A,2,0,8,infected,M,3200,38.994,2.43125,00:16:00,yes,10
BC167,2,0,7,infected,F,3200,38.09,2.46875,00:06:00,NA,10
BC407,2,0,6,infected,F,3100,38.328,2.41423611111111,00:07:00,NA,10
CP60,2,0,10,infected,F,3200,38.634,2.41875,00:06:00,NA,10
FR423A,2,0,7,infected,M,3400,38.3763333333333,2.43993055555556,00:05:00,NA,10
FR469A,2,0,7,infected,M,3200,37.83,2.39583333333333,00:06:00,NA,10
FR840,2,0,8,infected,F,3900,38.29,2.45694444444444,00:12:00,yes,10
NV259,2,0,5,control,F,3700,38.47,2.37916666666667,00:06:00,NA,10
NV289,2,0,6,control,M,4700,38.3366666666667,2.36805555555556,00:04:00,NA,10
SB393,2,0,8,infected,M,3500,38.7386666666667,2.38611111111111,00:08:00,NA,10
SB395,2,0,7,infected,F,3400,39.027,2.44895833333333,00:05:00,NA,10
UG171,2,0,5,control,F,2900,37.9283333333333,2.37465277777778,00:05:00,NA,10
UG253A,2,0,8,control,M,2900,38.086,2.40694444444444,00:06:00,NA,10
BC116A,3,0,6,infected,M,3300,38.9316666666667,3.43368055555556,00:05:00,NA,10
BC167,3,0,7,infected,F,3100,37.6343333333333,3.46076388888889,00:03:00,NA,10
BC407,3,0,7,infected,F,3200,38.1066666666667,3.41388888888889,00:06:00,NA,10
CP60,3,0,6,infected,F,3000,38.8303333333333,3.42465277777778,00:05:00,NA,10
FR423A,3,0,7,infected,M,3400,38.388,3.440625,00:05:00,NA,10
FR469A,3,0,6,infected,M,3200,37.926,3.4,00:06:00,NA,10
FR840,3,0,9,infected,F,3800,37.715,3.453125,00:09:00,NA,10
NV259,3,0,5,control,F,3700,38.27,3.38472222222222,00:04:00,NA,10
NV289,3,0,7,control,M,4700,37.834,3.37222222222222,00:06:00,NA,10
SB393,3,0,7,infected,M,3200,38.5433333333333,3.39236111111111,00:06:00,NA,10
SB395,3,0,8,infected,F,3200,38.994,3.44583333333333,00:06:00,NA,10
UG171,3,0,7,control,F,3000,37.576,3.378125,00:05:00,NA,10
UG253A,3,0,7,control,M,3000,38.5086666666667,3.40868055555556,00:03:00,NA,10
BC116A,4,1.28,8,infected,M,3100,38.956,4.43020833333333,00:05:00,NA,10
BC167,4,0,7,infected,F,3100,37.976,4.47847222222222,00:10:00,NA,10
BC407,4,0,10,infected,F,3200,38.029,4.41979166666667,00:05:00,NA,10
CP60,4,0,9,infected,F,2900,38.5233333333333,4.42013888888889,00:04:00,NA,10
FR423A,4,2.51,7,infected,M,3400,38.497,4.44409722222222,00:05:00,NA,10
FR469A,4,3.89,7,infected,M,3200,38.2633333333333,4.40138888888889,00:04:00,NA,10
FR840,4,0,6,infected,F,3800,37.216,4.465625,00:07:00,NA,10
NV259,4,0,7,control,F,3700,38.353,4.38645833333333,00:05:00,NA,10
NV289,4,0,6,control,M,4600,37.84,4.37083333333333,00:04:00,NA,10
SB393,4,0,6,infected,M,3500,38.5273333333333,4.39305555555556,00:04:00,NA,10
SB395,4,0,7,infected,F,3200,38.635,4.45451388888889,00:07:00,NA,10
UG171,4,0,5,control,F,3100,37.833,4.378125,00:05:00,NA,10
