ID,day,viremia,nb_fed,group,sex,weight,temp_estim_feed,dec,feed_duration,outlier,total
4516,1,1.32221929473392,12,infected,F,617,39.046,1.40208333333333,00:06:00,NA,15
4872,1,0,13,infected,F,635,39.288,1.41875,00:06:00,NA,15
5045,1,0,10,infected,F,657,38.72,1.41215277777778,00:05:00,NA,15
6314,1,1.04139268515822,9,infected,M,685,38.39,1.38541666666667,00:06:00,NA,15
6519,1,0,11,infected,M,825,38.772,1.39479166666667,00:05:00,NA,15
5929,1,0,6,control,F,592,38.2253333333333,1.43680555555556,00:10:00,NA,15
6541,1,0,11,control,M,777,39.8193333333333,1.37534722222222,00:09:00,NA,15
5910,2,0,12,infected,F,686,39.79,2.41666666666667,00:06:00,NA,15
6242,2,0,15,infected,F,637,39.747,2.409375,00:07:00,NA,15
6363,2,1.32221929473392,9,infected,M,886,39.377,2.38229166666667,00:11:00,NA,15
6401,2,0,3,infected,M,667,39.1736666666667,2.37465277777778,00:09:00,NA,15
6552,2,1.04139268515822,5,infected,M,810,40.2766666666667,2.39861111111111,00:08:00,NA,15
5080,2,0,13,control,F,588,38.4386666666667,2.37534722222222,00:07:00,NA,15
6321,2,0,8,control,M,845,38.9893333333333,2.36527777777778,00:06:00,NA,15
4516,3,1.32221929473392,7,infected,F,607,38.469,3.39479166666667,00:05:00,NA,15
4872,3,2.77887447200274,14,infected,F,614,39.3333333333333,3.40972222222222,00:06:00,NA,15
5045,3,0,11,infected,F,663,39.042,3.40069444444444,00:04:00,NA,15
6314,3,1.04139268515822,14,infected,M,734,39.1366666666667,3.37430555555556,00:06:00,NA,15
6519,3,0,13,infected,M,824,38.698,3.38229166666667,00:05:00,NA,15
5929,3,0,14,control,F,600,38.998,3.36875,00:08:00,NA,15
6541,3,0,14,control,M,788,39.9376666666667,3.36701388888889,00:05:00,NA,15
5910,4,0,14,infected,F,710,39.61,4.40104166666667,00:05:00,NA,15
6242,4,0,13,infected,F,660,39.202,4.39375,00:06:00,NA,15
6363,4,2.30319605742049,10,infected,M,866,39.876,4.378125,00:07:00,NA,15
6401,4,0,7,infected,M,675,39.3393333333333,4.37222222222222,00:08:00,NA,15
6552,4,0,8,infected,M,771,39.1,4.38541666666667,00:06:00,NA,15
5080,4,0,2,control,F,622,38.9486666666667,4.42777777777778,00:08:00,NA,15
6321,4,0,11,control,M,837,38.9706666666667,4.36423611111111,00:07:00,NA,15
4516,5,1.04139268515822,8,infected,F,601,39.052,5.3875,00:06:00,NA,15
4872,5,1.04139268515822,8,infected,F,610,39.2633333333333,5.40277777777778,00:06:00,NA,15
5045,5,0,14,infected,F,665,39.2466666666667,5.39305555555556,00:06:00,NA,15
6314,5,1.04139268515822,11,infected,M,720,39.3813333333333,5.37534722222222,00:09:00,NA,15
6519,5,0,12,infected,M,836,39.3396666666667,5.38159722222222,00:07:00,NA,15
5929,5,0,13,control,F,565,38.661,5.37256944444444,00:05:00,NA,15
6541,5,0,12,control,M,782,39.368,5.36666666666667,00:06:00,NA,15
4516,7,1.61278385671974,4,infected,F,586,38.83,7.39652777777778,00:08:00,NA,15
4872,7,1.04139268515822,12,infected,F,610,39.3213333333333,7.41180555555556,00:06:00,NA,15
5045,7,0,6,infected,F,656,38.8913333333333,7.40555555555556,00:08:00,NA,15
6314,7,1.04139268515822,11,infected,M,739,38.925,7.38020833333333,00:07:00,NA,15
6519,7,0,10,infected,M,848,39.1183333333333,7.38923611111111,00:07:00,NA,15
5929,7,0,4,control,F,600,38.7286666666667,7.46944444444444,00:06:00,NA,15
6541,7,0,15,control,M,770,39.592,7.37361111111111,00:06:00,NA,15
