ID,day,viremia,nb_fed,group,sex,weight,temp_estim_feed,dec,feed_duration,outlier,total
4806,1,0,9,infected,F,711,39.0256666666667,1.51423611111111,00:11:00,NA,15
5013,1,1.90848501887865,10,infected,F,722,38.4516666666667,1.49826388888889,00:07:00,NA,15
6311,1,1.04139268515822,12,infected,M,817,38.8923333333333,1.48576388888889,00:07:00,NA,15
6518,1,1.04139268515822,8,infected,M,732,39.435,1.47465277777778,00:05:00,NA,15
6550,1,1.61278385671974,6,infected,M,767,38.872,1.46805555555556,00:08:00,NA,15
5929,1,0,6,control,F,592,38.2253333333333,1.43680555555556,00:10:00,NA,15
6541,1,0,11,control,M,777,39.8193333333333,1.37534722222222,00:09:00,NA,15
4683,2,3.00043407747932,10,infected,F,583,38.1176666666667,2.40243055555556,00:05:00,NA,15
4728,2,3.00043407747932,14,infected,F,578,38.6466666666667,2.40798611111111,00:07:00,NA,15
5730,2,2.14921911265538,10,infected,F,645,39.0426666666667,2.39548611111111,00:05:00,NA,15
6347,2,1.04139268515822,10,infected,M,876,38.553,2.38229166666667,00:05:00,NA,15
6359,2,2.08278537031645,8,infected,M,789,38.888,2.38958333333333,00:06:00,NA,15
5080,2,0,13,control,F,588,38.4386666666667,2.37534722222222,00:07:00,NA,15
6321,2,0,8,control,M,845,38.9893333333333,2.36527777777778,00:06:00,NA,15
4806,3,4.30105170984523,6,infected,F,708,39.066,3.4,00:08:00,NA,15
5013,3,3.90314427040954,14,infected,F,737,38.884,3.39444444444444,00:04:00,NA,15
6311,3,3.90314427040954,14,infected,M,779,39.1056666666667,3.38923611111111,00:05:00,NA,15
6518,3,3.30124708863621,8,infected,M,733,38.793,3.384375,00:07:00,NA,15
6550,3,4.04143216468027,6,infected,M,789,38.46,3.375,00:06:00,NA,15
5929,3,0,14,control,F,600,38.998,3.36875,00:08:00,NA,15
6541,3,0,14,control,M,788,39.9376666666667,3.36701388888889,00:05:00,NA,15
4683,4,6.04139307997121,4,infected,F,547,38.8463333333333,4.46284722222222,00:09:00,NA,15
4728,4,6.27875382952881,6,infected,F,567,39.229,4.45520833333333,00:07:00,NA,15
5730,4,4.25529663190434,1,infected,F,646,39.246,4.44930555555556,00:08:00,NA,15
6347,4,5.39794174584649,5,infected,M,858,38.834,4.43541666666667,00:06:00,NA,15
6359,4,4.14615905560482,7,infected,M,793,38.5713333333333,4.44409722222222,00:07:00,NA,15
5080,4,0,2,control,F,622,38.9486666666667,4.42777777777778,00:08:00,NA,15
6321,4,0,11,control,M,837,38.9706666666667,4.36423611111111,00:07:00,NA,15
4806,5,5.60206107706281,11,infected,F,678,39.235,5.39895833333333,00:05:00,NA,15
5013,5,4.00004342727686,14,infected,F,670,39.4716666666667,5.39409722222222,00:05:00,NA,15
6311,5,3.7782236267661,13,infected,M,756,39.2573333333333,5.38923611111111,00:05:00,NA,15
