cytokine,ID,sex,group,day,value,LOD,fold_change_baseline,NHP,virus
EGF,NV289,M,Control,-7,74.83,3.41,1,Cyno,Dengue virus
EGF,UG171,F,Control,-7,113.85,3.41,1,Cyno,Dengue virus
EGF,FR469A,M,1 Mosquito,-7,153.46,3.41,1,Cyno,Dengue virus
EGF,SB393,M,1 Mosquito,-7,86.71,3.41,1,Cyno,Dengue virus
EGF,NV259,F,Control,-7,116.48,3.41,1,Cyno,Dengue virus
EGF,UG253A,M,Control,-7,68.68,3.41,1,Cyno,Dengue virus
EGF,BC116A,M,10 Mosquitos,-7,28.12,3.41,1,Cyno,Dengue virus
EGF,CP60,F,1 Mosquito,-7,85.38,3.41,1,Cyno,Dengue virus
EGF,BC407,F,1 Mosquito,-7,37.34,3.41,1,Cyno,Dengue virus
EGF,FR423A,M,10 Mosquitos,-7,89.54,3.41,1,Cyno,Dengue virus
EGF,BC167,F,10 Mosquitos,-7,75.15,3.41,1,Cyno,Dengue virus
EGF,SB395,F,10 Mosquitos,-7,115.55,3.41,1,Cyno,Dengue virus
EGF,FR840,F,10 Mosquitos,-7,43.99,3.41,1,Cyno,Dengue virus
Eotaxin,SB393,M,1 Mosquito,-7,248.81,2.64,1,Cyno,Dengue virus
Eotaxin,CP60,F,1 Mosquito,-7,167.18,2.64,1,Cyno,Dengue virus
Eotaxin,BC116A,M,10 Mosquitos,-7,113.29,2.64,1,Cyno,Dengue virus
Eotaxin,BC407,F,1 Mosquito,-7,513.82,2.64,1,Cyno,Dengue virus
Eotaxin,FR469A,M,1 Mosquito,-7,221.02,2.64,1,Cyno,Dengue virus
Eotaxin,UG253A,M,Control,-7,140.99,2.64,1,Cyno,Dengue virus
Eotaxin,FR423A,M,10 Mosquitos,-7,219.62,2.64,1,Cyno,Dengue virus
Eotaxin,BC167,F,10 Mosquitos,-7,234.38,2.64,1,Cyno,Dengue virus
Eotaxin,NV259,F,Control,-7,271.82,2.64,1,Cyno,Dengue virus
Eotaxin,SB395,F,10 Mosquitos,-7,227.38,2.64,1,Cyno,Dengue virus
Eotaxin,NV289,M,Control,-7,238.07,2.64,1,Cyno,Dengue virus
Eotaxin,FR840,F,10 Mosquitos,-7,265.75,2.64,1,Cyno,Dengue virus
Eotaxin,UG171,F,Control,-7,196.23,2.64,1,Cyno,Dengue virus
G.CSF,NV289,M,Control,-7,113.59,113.59,NA,Cyno,Dengue virus
G.CSF,FR840,F,10 Mosquitos,-7,113.59,113.59,NA,Cyno,Dengue virus
G.CSF,UG171,F,Control,-7,140.01,113.59,1,Cyno,Dengue virus
G.CSF,SB395,F,10 Mosquitos,-7,120.44,113.59,1,Cyno,Dengue virus
